School,School_Code,Professor_Name,Title,Department,Profile_URL,RMP_URL,Research_Areas,Tags
Erik Jonsson School of Engineering and Computer Science,ECS,Sridhar Alagar,Associate Professor of Instruction,Computer Science,https://profiles.utdallas.edu/sridhar,https://www.ratemyprofessors.com/search/professors/1273?q=Sridhar%20Alagar,,
Erik Jonsson School of Engineering and Computer Science,ECS,Rawan Alghofaili,Assistant Professor,Computer Science,https://profiles.utdallas.edu/rawan,https://www.ratemyprofessors.com/search/professors/1273?q=Rawan%20Alghofaili,,
Erik Jonsson School of Engineering and Computer Science,ECS,Tariq Ali,Senior Lecturer I,Bioengineering,https://profiles.utdallas.edu/tariq.ali,https://www.ratemyprofessors.com/search/professors/1273?q=Tariq%20Ali,,Bioengineering
Erik Jonsson School of Engineering and Computer Science,ECS,William Anderson,Associate Professor,Mechanical Engineering,https://profiles.utdallas.edu/william.anderson,https://www.ratemyprofessors.com/search/professors/1273?q=William%20Anderson,,Mechanical Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Connor D. Armstrong,Assistant Professor,Mechanical Engineering,https://profiles.utdallas.edu/connor.armstrong,https://www.ratemyprofessors.com/search/professors/1273?q=Connor%20D.%20Armstrong,,Mechanical Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Gordon Leslie Arnold ||,Associate Professor of Instruction,Computer Science,https://profiles.utdallas.edu/gxa120930,https://www.ratemyprofessors.com/search/professors/1273?q=Gordon%20Leslie%20Arnold%20%7C%7C,,
Erik Jonsson School of Engineering and Computer Science,ECS,Poras T. Balsara,Vice Dean,,https://profiles.utdallas.edu/poras.balsara,https://www.ratemyprofessors.com/search/professors/1273?q=Poras%20T.%20Balsara,,Electrical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Farokh Bastani,Professor,Computer Science,https://profiles.utdallas.edu/farokh.bastani,https://www.ratemyprofessors.com/search/professors/1273?q=Farokh%20Bastani,"AI-Based Automated Software Synthesis and Testing | Embedded Real-Time Process-Control and Telecommunications Systems | Formal Methods and Automated Program Transformation | High-Assurance Autonomous Decentralized Systems | High-Confidence Software Reliability, Safety, and Security Assurance | Inherently Fault-Tolerant and Self-Stabilizing Distributed Systems | Modular Parallel Programs | Tele-Collaborative Systems",Computer Science | Electrical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Kanad Basu,Assistant Professor,Electrical Engineering,https://profiles.utdallas.edu/kanad.basu,https://www.ratemyprofessors.com/search/professors/1273?q=Kanad%20Basu,,
Erik Jonsson School of Engineering and Computer Science,ECS,Eric Becker,Assistant Professor of Instruction,Computer Science,https://profiles.utdallas.edu/eric.becker,https://www.ratemyprofessors.com/search/professors/1273?q=Eric%20Becker,,
Erik Jonsson School of Engineering and Computer Science,ECS,Sergey Bereg,Professor,Computer Science,https://profiles.utdallas.edu/besp,https://www.ratemyprofessors.com/search/professors/1273?q=Sergey%20Bereg,Computational Biology and Bioinformatics | Computational Geometry and Geometric Optimization | Networks and Communications | Geographic Information Systems | Facility Location | Pattern Matching,Computer Science
Erik Jonsson School of Engineering and Computer Science,ECS,Rodrigo Bernal,Associate Professor,Mechanical Engineering,https://profiles.utdallas.edu/bernal,https://www.ratemyprofessors.com/search/professors/1273?q=Rodrigo%20Bernal,,Mechanical Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Dinesh Bhatia,Professor,Electrical and Computer Engineering,https://profiles.utdallas.edu/dinesh.bhatia,https://www.ratemyprofessors.com/search/professors/1273?q=Dinesh%20Bhatia,"All aspects of reconfigurable and adaptive computing architecture and CAD for field programmable gate arrays (FPGAs) | Physical design automation of VLSI Systems | Biomedical electronics and systems | Medical devices | Natural energy scavenging | Applications of wireless sensor networks. | Physical design automation of VLSI systems, | Digital Logic, Switching theory, | Reconfigurable computing, | Introduction to Engineering and Contemporary topics in Engineering | VLSI systems, | Data structures and algorithms, | Microsystems design, | VLSI architecture, | Combinatorial optimization, Graph theory and algorithms.",Electrical Engineering | Computer Engineering
Erik Jonsson School of Engineering and Computer Science,ECS,Fang Bian,Research Scientist,Bioengineering,https://profiles.utdallas.edu/fang.bian,https://www.ratemyprofessors.com/search/professors/1273?q=Fang%20Bian,,
Erik Jonsson School of Engineering and Computer Science,ECS,Andrew Blanchard,Professor Emeritus,Electrical Engineering,https://profiles.utdallas.edu/andrew.blanchard,https://www.ratemyprofessors.com/search/professors/1273?q=Andrew%20Blanchard,"Vice Provost University of Texas at Dallas, September 2008-present | Vice President Technology, Clean Earth Technologies, LLC, June 2002 – May 2004. | Senior Associate Dean, Erik Jonsson School of Engineering and Computer Science, University of Texas at Dallas, January 2001-June 2002, May 2004-present | Director of Research, College of Engineering, University of Missouri-Columbia, December 1995-December 2000 | Budget Director, College of Engineering, University of Missouri-Columbia, January 1999-December 2000 | Houston Advanced Research Center, The Woodlands, TX, June 1989-December 1995 | Director, Strategic Technology Applications Research Center (STAR Center), Houston Advanced Research Center (HARC), The Woodlands Texas, June 1990- 1995 | Associate Director, Space Technology and Research Center (STAR Center), Houston Advanced Research Center (HARC), The Woodlands Texas, June 1989- May 1990 | Head, Long Wavelength Imaging Laboratory, STAR Center, HARC, June 1989-1990. | Associate Director, Wave Scattering Research Center, College of Engineering, University of Texas at Arlington, September 1984-1988. | Associate Research Engineer, Texas Engineering Experiment Station, June 1979 - 1989. | Engineering Research Associate, Remote Sensing Center, Texas A&M University, 1975 - 1977. | Research Assistant, Remote Sensing Center, Texas A&M University, 1973 - 1975. | Research Assistant, Department of Electrical Engineering, Colorado State University, July 1972 - August 1973",Electrical Engineering | Mechanical Engineering | Computer Engineering
